506,70
552,88
566,123
565,755
575,800
603,817
670,816
697,798
743,756
796,786
799,839
762,873
715,859
702,845
682,845
676,866
713,900
787,897
829,846
827,784
801,744
757,726
698,743
675,781
650,789
646,763
682,717
739,690
807,705
840,733
864,792
856,866
820,915
760,942
608,942
552,915
527,853
525,631
524,552
526,495
523,199
508,154
465,150
439,184
460,222
494,227
499,302
476,349
428,378
373,381
354,363
352,309
371,295
389,307
388,342
418,341
416,300
441,293
471,291
461,266
430,277
414,268
416,246
395,219
383,242
388,269
368,276
353,264
350,191
326,170
119,171
84,188
105,210
306,210
316,228
290,255
272,236
269,138
228,142
230,241
188,247
186,143
144,143
145,236
126,259
77,260
61,234
60,167
92,132
60,111
60,73
86,55
165,56
213,69
419,68
